timestep_superordinate_dispatch,region_dispatch,technology,carrier,variable,value
20th < 2030,East < EastSouth,solar < rooftop < solarThermal,none,capaConv,0.0
30th < 2035,East < EastSouth,solar < rooftop < solarThermal,none,capaConv,0.0
30th < 2040,East < EastSouth,solar < rooftop < solarThermal,none,capaConv,104.15494630511697
10th < 2020,West < WestNorth,solar < rooftop < solarThermal,none,capaConv,0.0
20th < 2025,West < WestNorth,solar < rooftop < solarThermal,none,capaConv,0.0
20th < 2030,West < WestNorth,solar < rooftop < solarThermal,none,capaConv,0.0
30th < 2035,West < WestNorth,solar < rooftop < solarThermal,none,capaConv,0.0
30th < 2040,West < WestNorth,solar < rooftop < solarThermal,none,capaConv,10.959831878447018
10th < 2020,West < WestSouth,solar < rooftop < solarThermal,none,capaConv,0.0
20th < 2025,West < WestSouth,solar < rooftop < solarThermal,none,capaConv,0.0
20th < 2030,West < WestSouth,solar < rooftop < solarThermal,none,capaConv,0.0
30th < 2035,West < WestSouth,solar < rooftop < solarThermal,none,capaConv,0.0
30th < 2040,West < WestSouth,solar < rooftop < solarThermal,none,capaConv,27.39752072837929
10th < 2020,East < EastNorth,solar < rooftop < solarThermal,none,commCapaConv,0.0
20th < 2025,East < EastNorth,solar < rooftop < solarThermal,none,commCapaConv,0.0
20th < 2030,East < EastNorth,solar < rooftop < solarThermal,none,commCapaConv,0.0
30th < 2035,East < EastNorth,solar < rooftop < solarThermal,none,commCapaConv,0.0
30th < 2040,East < EastNorth,solar < rooftop < solarThermal,none,commCapaConv,41.71325964843175
10th < 2020,East < EastSouth,solar < rooftop < solarThermal,none,commCapaConv,0.0
20th < 2025,East < EastSouth,solar < rooftop < solarThermal,none,commCapaConv,0.0
20th < 2030,East < EastSouth,solar < rooftop < solarThermal,none,commCapaConv,0.0
30th < 2035,East < EastSouth,solar < rooftop < solarThermal,none,commCapaConv,0.0
30th < 2040,East < EastSouth,solar < rooftop < solarThermal,none,commCapaConv,104.15494630511697
10th < 2020,West < WestNorth,solar < rooftop < solarThermal,none,commCapaConv,0.0
20th < 2025,West < WestNorth,solar < rooftop < solarThermal,none,commCapaConv,0.0
20th < 2030,West < WestNorth,solar < rooftop < solarThermal,none,commCapaConv,0.0
30th < 2035,West < WestNorth,solar < rooftop < solarThermal,none,commCapaConv,0.0
30th < 2040,West < WestNorth,solar < rooftop < solarThermal,none,commCapaConv,10.959831878447018
10th < 2020,West < WestSouth,solar < rooftop < solarThermal,none,commCapaConv,0.0
20th < 2025,West < WestSouth,solar < rooftop < solarThermal,none,commCapaConv,0.0
20th < 2030,West < WestSouth,solar < rooftop < solarThermal,none,commCapaConv,0.0
30th < 2035,West < WestSouth,solar < rooftop < solarThermal,none,commCapaConv,0.0
30th < 2040,West < WestSouth,solar < rooftop < solarThermal,none,commCapaConv,27.397520728379295
10th < 2020,East < EastNorth,solar < rooftop < solarThermal,heat,expStIn,0.0
20th < 2025,East < EastNorth,solar < rooftop < solarThermal,heat,expStIn,0.0
20th < 2030,East < EastNorth,solar < rooftop < solarThermal,heat,expStIn,0.0
30th < 2035,East < EastNorth,solar < rooftop < solarThermal,heat,expStIn,0.0
30th < 2040,East < EastNorth,solar < rooftop < solarThermal,heat,expStIn,0.0
10th < 2020,East < EastSouth,solar < rooftop < solarThermal,heat,expStIn,0.0
20th < 2025,East < EastSouth,solar < rooftop < solarThermal,heat,expStIn,0.0
20th < 2030,East < EastSouth,solar < rooftop < solarThermal,heat,expStIn,0.0
30th < 2035,East < EastSouth,solar < rooftop < solarThermal,heat,expStIn,0.0
30th < 2040,East < EastSouth,solar < rooftop < solarThermal,heat,expStIn,0.0
10th < 2020,West < WestNorth,solar < rooftop < solarThermal,heat,expStIn,0.0
20th < 2025,West < WestNorth,solar < rooftop < solarThermal,heat,expStIn,0.0
20th < 2030,West < WestNorth,solar < rooftop < solarThermal,heat,expStIn,0.0
30th < 2035,West < WestNorth,solar < rooftop < solarThermal,heat,expStIn,0.0
30th < 2040,West < WestNorth,solar < rooftop < solarThermal,heat,expStIn,0.0
10th < 2020,West < WestSouth,solar < rooftop < solarThermal,heat,expStIn,0.0
20th < 2025,West < WestSouth,solar < rooftop < solarThermal,heat,expStIn,0.0
20th < 2030,West < WestSouth,solar < rooftop < solarThermal,heat,expStIn,0.0
30th < 2035,West < WestSouth,solar < rooftop < solarThermal,heat,expStIn,0.0
30th < 2040,West < WestSouth,solar < rooftop < solarThermal,heat,expStIn,0.0
10th < 2020,East < EastNorth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
20th < 2025,East < EastNorth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
20th < 2030,East < EastNorth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
30th < 2035,East < EastNorth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
30th < 2040,East < EastNorth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
10th < 2020,East < EastSouth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
20th < 2025,East < EastSouth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
20th < 2030,East < EastSouth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
30th < 2035,East < EastSouth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
30th < 2040,East < EastSouth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
10th < 2020,West < WestNorth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
20th < 2025,West < WestNorth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
20th < 2030,West < WestNorth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
30th < 2035,West < WestNorth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
30th < 2040,West < WestNorth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
10th < 2020,West < WestSouth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
20th < 2025,West < WestSouth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
20th < 2030,West < WestSouth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
30th < 2035,West < WestSouth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
30th < 2040,West < WestSouth,solar < rooftop < solarThermal,heat,commCapaStIn,0.0
10th < 2020,East < EastNorth,solar < rooftop < solarThermal,heat,capaStOut,0.0
10th < 2020,East < EastSouth,solar < rooftop < solarThermal,heat,capaStOut,0.0
10th < 2020,West < WestNorth,solar < rooftop < solarThermal,heat,capaStOut,0.0
10th < 2020,West < WestSouth,solar < rooftop < solarThermal,heat,capaStOut,0.0
20th < 2025,East < EastNorth,solar < rooftop < solarThermal,heat,capaStOut,0.0
20th < 2025,East < EastSouth,solar < rooftop < solarThermal,heat,capaStOut,0.0
20th < 2025,West < WestNorth,solar < rooftop < solarThermal,heat,capaStOut,0.0
20th < 2025,West < WestSouth,solar < rooftop < solarThermal,heat,capaStOut,0.0
20th < 2030,East < EastNorth,solar < rooftop < solarThermal,heat,capaStOut,0.0
20th < 2030,East < EastSouth,solar < rooftop < solarThermal,heat,capaStOut,0.0
20th < 2030,West < WestNorth,solar < rooftop < solarThermal,heat,capaStOut,0.0
20th < 2030,West < WestSouth,solar < rooftop < solarThermal,heat,capaStOut,0.0
30th < 2035,East < EastNorth,solar < rooftop < solarThermal,heat,capaStOut,0.0
30th < 2035,East < EastSouth,solar < rooftop < solarThermal,heat,capaStOut,0.0
30th < 2035,West < WestNorth,solar < rooftop < solarThermal,heat,capaStOut,0.0
30th < 2035,West < WestSouth,solar < rooftop < solarThermal,heat,capaStOut,0.0
30th < 2040,East < EastNorth,solar < rooftop < solarThermal,heat,capaStOut,0.0
30th < 2040,East < EastSouth,solar < rooftop < solarThermal,heat,capaStOut,0.0
30th < 2040,West < WestNorth,solar < rooftop < solarThermal,heat,capaStOut,0.0
30th < 2040,West < WestSouth,solar < rooftop < solarThermal,heat,capaStOut,0.0
10th < 2020,East < EastNorth,solar < rooftop < solarThermal,heat,expStSize,0.0
20th < 2025,East < EastNorth,solar < rooftop < solarThermal,heat,expStSize,0.0
20th < 2030,East < EastNorth,solar < rooftop < solarThermal,heat,expStSize,0.0
30th < 2035,East < EastNorth,solar < rooftop < solarThermal,heat,expStSize,0.0
30th < 2040,East < EastNorth,solar < rooftop < solarThermal,heat,expStSize,0.0
10th < 2020,East < EastSouth,solar < rooftop < solarThermal,heat,expStSize,0.0
20th < 2025,East < EastSouth,solar < rooftop < solarThermal,heat,expStSize,0.0
20th < 2030,East < EastSouth,solar < rooftop < solarThermal,heat,expStSize,0.0
30th < 2035,East < EastSouth,solar < rooftop < solarThermal,heat,expStSize,0.0
30th < 2040,East < EastSouth,solar < rooftop < solarThermal,heat,expStSize,0.0
10th < 2020,West < WestNorth,solar < rooftop < solarThermal,heat,expStSize,0.0
20th < 2025,West < WestNorth,solar < rooftop < solarThermal,heat,expStSize,0.0
20th < 2030,West < WestNorth,solar < rooftop < solarThermal,heat,expStSize,0.0
